cancer_classification,YEAR,Age_Group,M,F,TOTAL
Corpus uteri (C54),2002,N70_74,0,2351,2351
Corpus uteri (C54),2002,N75_79,0,2018,2018
Corpus uteri (C54),2002,N80_84,0,1245,1245
Corpus uteri (C54),2002,N85+,0,786,786
Corpus uteri (C54),2002,N_UNK,0,1,1
Corpus uteri (C54),2003,N0_4,0,0,0
Corpus uteri (C54),2003,N5_9,0,0,0
Corpus uteri (C54),2003,N10_14,0,0,0
Corpus uteri (C54),2003,N15_19,0,0,0
Corpus uteri (C54),2003,N20_24,0,9,9
Corpus uteri (C54),2003,N25_29,0,22,22
Corpus uteri (C54),2003,N30_34,0,62,62
Corpus uteri (C54),2003,N35_39,0,167,167
Corpus uteri (C54),2003,N40_44,0,371,371
Corpus uteri (C54),2003,N45_49,0,846,846
Corpus uteri (C54),2003,N50_54,0,1748,1748
Corpus uteri (C54),2003,N55_59,0,2657,2657
Corpus uteri (C54),2003,N60_64,0,2872,2872
Corpus uteri (C54),2003,N65_69,0,2815,2815
Corpus uteri (C54),2003,N70_74,0,2575,2575
Corpus uteri (C54),2003,N75_79,0,2044,2044
Corpus uteri (C54),2003,N80_84,0,1487,1487
Corpus uteri (C54),2003,N85+,0,857,857
Corpus uteri (C54),2003,N_UNK,0,0,0
Corpus uteri (C54),2004,N0_4,0,0,0
Corpus uteri (C54),2004,N5_9,0,0,0
Corpus uteri (C54),2004,N10_14,0,0,0
Corpus uteri (C54),2004,N15_19,0,0,0
Corpus uteri (C54),2004,N20_24,0,8,8
Corpus uteri (C54),2004,N25_29,0,21,21
Corpus uteri (C54),2004,N30_34,0,58,58
Corpus uteri (C54),2004,N35_39,0,141,141
Corpus uteri (C54),2004,N40_44,0,396,396
Corpus uteri (C54),2004,N45_49,0,815,815
Corpus uteri (C54),2004,N50_54,0,1802,1802
Corpus uteri (C54),2004,N55_59,0,2782,2782
Corpus uteri (C54),2004,N60_64,0,2981,2981
Corpus uteri (C54),2004,N65_69,0,2985,2985
Corpus uteri (C54),2004,N70_74,0,2582,2582
Corpus uteri (C54),2004,N75_79,0,2168,2168
Corpus uteri (C54),2004,N80_84,0,1500,1500
Corpus uteri (C54),2004,N85+,0,863,863
Corpus uteri (C54),2004,N_UNK,0,4,4
Corpus uteri (C54),2005,N0_4,0,1,1
Corpus uteri (C54),2005,N5_9,0,0,0
Corpus uteri (C54),2005,N10_14,0,0,0
Corpus uteri (C54),2005,N15_19,0,2,2
Corpus uteri (C54),2005,N20_24,0,4,4
Corpus uteri (C54),2005,N25_29,0,21,21
Corpus uteri (C54),2005,N30_34,0,48,48
Corpus uteri (C54),2005,N35_39,0,181,181
Corpus uteri (C54),2005,N40_44,0,426,426
Corpus uteri (C54),2005,N45_49,0,898,898
Corpus uteri (C54),2005,N50_54,0,1836,1836
Corpus uteri (C54),2005,N55_59,0,2987,2987
Corpus uteri (C54),2005,N60_64,0,2910,2910
Corpus uteri (C54),2005,N65_69,0,3113,3113
Corpus uteri (C54),2005,N70_74,0,2811,2811
Corpus uteri (C54),2005,N75_79,0,2272,2272
Corpus uteri (C54),2005,N80_84,0,1553,1553
Corpus uteri (C54),2005,N85+,0,944,944
Corpus uteri (C54),2005,N_UNK,0,2,2
Corpus uteri (C54),2006,N0_4,0,0,0
Corpus uteri (C54),2006,N5_9,0,0,0
Corpus uteri (C54),2006,N10_14,0,0,0
Corpus uteri (C54),2006,N15_19,0,0,0
Corpus uteri (C54),2006,N20_24,0,6,6
Corpus uteri (C54),2006,N25_29,0,22,22
Corpus uteri (C54),2006,N30_34,0,81,81
Corpus uteri (C54),2006,N35_39,0,165,165
Corpus uteri (C54),2006,N40_44,0,418,418
Corpus uteri (C54),2006,N45_49,0,910,910
Corpus uteri (C54),2006,N50_54,0,1713,1713
Corpus uteri (C54),2006,N55_59,0,2999,2999
Corpus uteri (C54),2006,N60_64,0,3060,3060
Corpus uteri (C54),2006,N65_69,0,3108,3108
Corpus uteri (C54),2006,N70_74,0,2757,2757
Corpus uteri (C54),2006,N75_79,0,2213,2213
Corpus uteri (C54),2006,N80_84,0,1578,1578
Corpus uteri (C54),2006,N85+,0,1012,1012
Corpus uteri (C54),2006,N_UNK,0,0,0
Corpus uteri (C54),2007,N0_4,0,0,0
Corpus uteri (C54),2007,N5_9,0,0,0
Corpus uteri (C54),2007,N10_14,0,0,0
Corpus uteri (C54),2007,N15_19,0,0,0
Corpus uteri (C54),2007,N20_24,0,5,5
Corpus uteri (C54),2007,N25_29,0,26,26
Corpus uteri (C54),2007,N30_34,0,69,69
Corpus uteri (C54),2007,N35_39,0,178,178
Corpus uteri (C54),2007,N40_44,0,420,420
Corpus uteri (C54),2007,N45_49,0,952,952
Corpus uteri (C54),2007,N50_54,0,1825,1825
Corpus uteri (C54),2007,N55_59,0,3020,3020
Corpus uteri (C54),2007,N60_64,0,3271,3271
Corpus uteri (C54),2007,N65_69,0,3236,3236
Corpus uteri (C54),2007,N70_74,0,2868,2868
Corpus uteri (C54),2007,N75_79,0,2219,2219
Corpus uteri (C54),2007,N80_84,0,1562,1562
Corpus uteri (C54),2007,N85+,0,1028,1028
Corpus uteri (C54),2007,N_UNK,0,2,2
Corpus uteri (C54),2008,N0_4,0,0,0
Corpus uteri (C54),2008,N5_9,0,0,0
Corpus uteri (C54),2008,N10_14,0,0,0
Corpus uteri (C54),2008,N15_19,0,2,2
Corpus uteri (C54),2008,N20_24,0,8,8
Corpus uteri (C54),2008,N25_29,0,23,23
Corpus uteri (C54),2008,N30_34,0,62,62
Corpus uteri (C54),2008,N35_39,0,186,186
Corpus uteri (C54),2008,N40_44,0,429,429
Corpus uteri (C54),2008,N45_49,0,962,962
Corpus uteri (C54),2008,N50_54,0,1891,1891
Corpus uteri (C54),2008,N55_59,0,2965,2965
Corpus uteri (C54),2008,N60_64,0,3491,3491
Corpus uteri (C54),2008,N65_69,0,3199,3199
Corpus uteri (C54),2008,N70_74,0,2947,2947
Corpus uteri (C54),2008,N75_79,0,2343,2343
Corpus uteri (C54),2008,N80_84,0,1589,1589
Corpus uteri (C54),2008,N85+,0,1113,1113
Corpus uteri (C54),2008,N_UNK,0,1,1
Corpus uteri (C54),2009,N0_4,0,0,0
Corpus uteri (C54),2009,N5_9,0,0,0
Corpus uteri (C54),2009,N10_14,0,0,0
Corpus uteri (C54),2009,N15_19,0,4,4
Corpus uteri (C54),2009,N20_24,0,7,7
Corpus uteri (C54),2009,N25_29,0,28,28
Corpus uteri (C54),2009,N30_34,0,82,82
Corpus uteri (C54),2009,N35_39,0,170,170
Corpus uteri (C54),2009,N40_44,0,436,436
Corpus uteri (C54),2009,N45_49,0,911,911
Corpus uteri (C54),2009,N50_54,0,1826,1826
Corpus uteri (C54),2009,N55_59,0,3027,3027
Corpus uteri (C54),2009,N60_64,0,3569,3569
Corpus uteri (C54),2009,N65_69,0,3289,3289
Corpus uteri (C54),2009,N70_74,0,3177,3177
Corpus uteri (C54),2009,N75_79,0,2410,2410
Corpus uteri (C54),2009,N80_84,0,1581,1581
Corpus uteri (C54),2009,N85+,0,1165,1165
Corpus uteri (C54),2009,N_UNK,0,1,1
Corpus uteri (C54),2010,N0_4,0,0,0
Corpus uteri (C54),2010,N5_9,0,0,0
Corpus uteri (C54),2010,N10_14,0,0,0
Corpus uteri (C54),2010,N15_19,0,0,0
Corpus uteri (C54),2010,N20_24,0,9,9
Corpus uteri (C54),2010,N25_29,0,27,27
Corpus uteri (C54),2010,N30_34,0,87,87
Corpus uteri (C54),2010,N35_39,0,176,176
Corpus uteri (C54),2010,N40_44,0,420,420
Corpus uteri (C54),2010,N45_49,0,933,933
Corpus uteri (C54),2010,N50_54,0,1977,1977
Corpus uteri (C54),2010,N55_59,0,2982,2982
Corpus uteri (C54),2010,N60_64,0,3760,3760
Corpus uteri (C54),2010,N65_69,0,3408,3408
Corpus uteri (C54),2010,N70_74,0,3228,3228
Corpus uteri (C54),2010,N75_79,0,2547,2547
Corpus uteri (C54),2010,N80_84,0,1744,1744
Corpus uteri (C54),2010,N85+,0,1186,1186
Corpus uteri (C54),2010,N_UNK,0,1,1
Corpus uteri (C54),2011,N0_4,0,0,0
Corpus uteri (C54),2011,N5_9,0,0,0
Corpus uteri (C54),2011,N10_14,0,0,0
Corpus uteri (C54),2011,N15_19,0,2,2
Corpus uteri (C54),2011,N20_24,0,11,11
Corpus uteri (C54),2011,N25_29,0,30,30
Corpus uteri (C54),2011,N30_34,0,73,73
Corpus uteri (C54),2011,N35_39,0,192,192
Corpus uteri (C54),2011,N40_44,0,427,427
Corpus uteri (C54),2011,N45_49,0,954,954
Corpus uteri (C54),2011,N50_54,0,1965,1965
Corpus uteri (C54),2011,N55_59,0,3013,3013
Corpus uteri (C54),2011,N60_64,0,3854,3854
Corpus uteri (C54),2011,N65_69,0,3572,3572
Corpus uteri (C54),2011,N70_74,0,3341,3341
Corpus uteri (C54),2011,N75_79,0,2557,2557
Corpus uteri (C54),2011,N80_84,0,1776,1776
Corpus uteri (C54),2011,N85+,0,1271,1271
Corpus uteri (C54),2011,N_UNK,0,2,2
Corpus uteri (C54),2012,N0_4,0,0,0
Corpus uteri (C54),2012,N5_9,0,0,0
Corpus uteri (C54),2012,N10_14,0,1,1
Corpus uteri (C54),2012,N15_19,0,2,2
Corpus uteri (C54),2012,N20_24,0,6,6
Corpus uteri (C54),2012,N25_29,0,37,37
Corpus uteri (C54),2012,N30_34,0,70,70
Corpus uteri (C54),2012,N35_39,0,200,200
Corpus uteri (C54),2012,N40_44,0,453,453
Corpus uteri (C54),2012,N45_49,0,964,964
Corpus uteri (C54),2012,N50_54,0,2029,2029
Corpus uteri (C54),2012,N55_59,0,3096,3096
Corpus uteri (C54),2012,N60_64,0,3586,3586
Corpus uteri (C54),2012,N65_69,0,3726,3726
Corpus uteri (C54),2012,N70_74,0,3318,3318
Corpus uteri (C54),2012,N75_79,0,2622,2622
Corpus uteri (C54),2012,N80_84,0,1799,1799
Corpus uteri (C54),2012,N85+,0,1301,1301
Corpus uteri (C54),2012,N_UNK,0,0,0
Corpus uteri (C54),2013,N0_4,0,1,1
Corpus uteri (C54),2013,N5_9,0,0,0
Corpus uteri (C54),2013,N10_14,0,0,0
Corpus uteri (C54),2013,N15_19,0,1,1
Corpus uteri (C54),2013,N20_24,0,6,6
Corpus uteri (C54),2013,N25_29,0,28,28
Corpus uteri (C54),2013,N30_34,0,105,105
Corpus uteri (C54),2013,N35_39,0,184,184
Corpus uteri (C54),2013,N40_44,0,424,424
Corpus uteri (C54),2013,N45_49,0,981,981
Corpus uteri (C54),2013,N50_54,0,2117,2117
Corpus uteri (C54),2013,N55_59,0,3225,3225
Corpus uteri (C54),2013,N60_64,0,3732,3732
Corpus uteri (C54),2013,N65_69,0,3991,3991
Corpus uteri (C54),2013,N70_74,0,3338,3338
Corpus uteri (C54),2013,N75_79,0,2748,2748
Corpus uteri (C54),2013,N80_84,0,1889,1889
Corpus uteri (C54),2013,N85+,0,1377,1377
Corpus uteri (C54),2013,N_UNK,0,0,0
Corpus uteri (C54),2014,N0_4,0,0,0
Corpus uteri (C54),2014,N5_9,0,0,0
Corpus uteri (C54),2014,N10_14,0,1,1
Corpus uteri (C54),2014,N15_19,0,1,1
Corpus uteri (C54),2014,N20_24,0,9,9
Corpus uteri (C54),2014,N25_29,0,37,37
Corpus uteri (C54),2014,N30_34,0,86,86
Corpus uteri (C54),2014,N35_39,0,207,207
Corpus uteri (C54),2014,N40_44,0,474,474
Corpus uteri (C54),2014,N45_49,0,992,992
Corpus uteri (C54),2014,N50_54,0,2078,2078
Corpus uteri (C54),2014,N55_59,0,3245,3245
Corpus uteri (C54),2014,N60_64,0,3624,3624
Corpus uteri (C54),2014,N65_69,0,4131,4131
Corpus uteri (C54),2014,N70_74,0,3451,3451
Corpus uteri (C54),2014,N75_79,0,2922,2922
Corpus uteri (C54),2014,N80_84,0,1874,1874
Corpus uteri (C54),2014,N85+,0,1343,1343
Corpus uteri (C54),2014,N_UNK,0,0,0
Corpus uteri (C54),2015,N0_4,0,0,0
Corpus uteri (C54),2015,N5_9,0,0,0
Corpus uteri (C54),2015,N10_14,0,1,1
Corpus uteri (C54),2015,N15_19,0,2,2
Corpus uteri (C54),2015,N20_24,0,2,2
Corpus uteri (C54),2015,N25_29,0,39,39
Corpus uteri (C54),2015,N30_34,0,91,91
Corpus uteri (C54),2015,N35_39,0,186,186
Corpus uteri (C54),2015,N40_44,0,452,452
Corpus uteri (C54),2015,N45_49,0,967,967
Corpus uteri (C54),2015,N50_54,0,2166,2166
Corpus uteri (C54),2015,N55_59,0,3200,3200
Corpus uteri (C54),2015,N60_64,0,3731,3731
Corpus uteri (C54),2015,N65_69,0,4147,4147
Corpus uteri (C54),2015,N70_74,0,3473,3473
Corpus uteri (C54),2015,N75_79,0,2804,2804
Corpus uteri (C54),2015,N80_84,0,1921,1921
Corpus uteri (C54),2015,N85+,0,1392,1392
Corpus uteri (C54),2015,N_UNK,0,1,1
Corpus uteri (C54),2016,N0_4,0,0,0
Corpus uteri (C54),2016,N5_9,0,0,0
Corpus uteri (C54),2016,N10_14,0,0,0
Corpus uteri (C54),2016,N15_19,0,1,1
Corpus uteri (C54),2016,N20_24,0,2,2
Corpus uteri (C54),2016,N25_29,0,31,31
Corpus uteri (C54),2016,N30_34,0,118,118
Corpus uteri (C54),2016,N35_39,0,200,200
Corpus uteri (C54),2016,N40_44,0,463,463
Corpus uteri (C54),2016,N45_49,0,921,921
Corpus uteri (C54),2016,N50_54,0,2086,2086
Corpus uteri (C54),2016,N55_59,0,3323,3323
Corpus uteri (C54),2016,N60_64,0,3712,3712
Corpus uteri (C54),2016,N65_69,0,4226,4226
Corpus uteri (C54),2016,N70_74,0,3573,3573
Corpus uteri (C54),2016,N75_79,0,2954,2954
Corpus uteri (C54),2016,N80_84,0,1994,1994
Corpus uteri (C54),2016,N85+,0,1463,1463
Corpus uteri (C54),2016,N_UNK,0,0,0
Corpus uteri (C54),2017,N0_4,0,0,0
Corpus uteri (C54),2017,N5_9,0,0,0
Corpus uteri (C54),2017,N10_14,0,0,0
Corpus uteri (C54),2017,N15_19,0,1,1
Corpus uteri (C54),2017,N20_24,0,11,11
Corpus uteri (C54),2017,N25_29,0,32,32
Corpus uteri (C54),2017,N30_34,0,107,107
Corpus uteri (C54),2017,N35_39,0,247,247
Corpus uteri (C54),2017,N40_44,0,428,428
Corpus uteri (C54),2017,N45_49,0,933,933
Corpus uteri (C54),2017,N50_54,0,2087,2087
Corpus uteri (C54),2017,N55_59,0,3233,3233
Corpus uteri (C54),2017,N60_64,0,3557,3557
Corpus uteri (C54),2017,N65_69,0,3950,3950
Corpus uteri (C54),2017,N70_74,0,3656,3656
Corpus uteri (C54),2017,N75_79,0,2880,2880
Corpus uteri (C54),2017,N80_84,0,1884,1884
Corpus uteri (C54),2017,N85+,0,1373,1373
Corpus uteri (C54),2017,N_UNK,0,0,0
Eye (C69),1953,N0_4,6,7,13
Eye (C69),1953,N5_9,0,2,2
Eye (C69),1953,N10_14,1,0,1
Eye (C69),1953,N15_19,0,0,0
Eye (C69),1953,N20_24,0,0,0
Eye (C69),1953,N25_29,1,1,2
Eye (C69),1953,N30_34,0,1,1
Eye (C69),1953,N35_39,3,0,3
Eye (C69),1953,N40_44,1,4,5
Eye (C69),1953,N45_49,2,0,2
Eye (C69),1953,N50_54,5,2,7
Eye (C69),1953,N55_59,3,5,8
Eye (C69),1953,N60_64,5,3,8
Eye (C69),1953,N65_69,3,6,9
Eye (C69),1953,N70_74,1,6,7
Eye (C69),1953,N75_79,4,4,8
Eye (C69),1953,N80_84,0,3,3
Eye (C69),1953,N85+,0,0,0
Eye (C69),1953,N_UNK,0,0,0
Eye (C69),1954,N0_4,2,4,6
Eye (C69),1954,N5_9,1,0,1
Eye (C69),1954,N10_14,0,0,0
Eye (C69),1954,N15_19,1,0,1
Eye (C69),1954,N20_24,1,0,1
Eye (C69),1954,N25_29,0,0,0
Eye (C69),1954,N30_34,1,1,2
Eye (C69),1954,N35_39,2,2,4
Eye (C69),1954,N40_44,3,1,4
Eye (C69),1954,N45_49,5,2,7
Eye (C69),1954,N50_54,3,3,6
Eye (C69),1954,N55_59,2,5,7
Eye (C69),1954,N60_64,4,4,8
Eye (C69),1954,N65_69,10,4,14
Eye (C69),1954,N70_74,5,3,8
Eye (C69),1954,N75_79,4,5,9
Eye (C69),1954,N80_84,1,1,2
Eye (C69),1954,N85+,0,0,0
Eye (C69),1954,N_UNK,0,0,0
Eye (C69),1955,N0_4,1,0,1
Eye (C69),1955,N5_9,2,1,3
Eye (C69),1955,N10_14,0,1,1
Eye (C69),1955,N15_19,0,0,0
Eye (C69),1955,N20_24,0,1,1
Eye (C69),1955,N25_29,0,0,0
Eye (C69),1955,N30_34,2,1,3
Eye (C69),1955,N35_39,1,1,2
Eye (C69),1955,N40_44,3,4,7
Eye (C69),1955,N45_49,4,2,6
Eye (C69),1955,N50_54,3,3,6
Eye (C69),1955,N55_59,9,6,15
Eye (C69),1955,N60_64,1,3,4
Eye (C69),1955,N65_69,7,2,9
Eye (C69),1955,N70_74,6,2,8
Eye (C69),1955,N75_79,3,0,3
Eye (C69),1955,N80_84,2,0,2
Eye (C69),1955,N85+,0,1,1
Eye (C69),1955,N_UNK,0,0,0
Eye (C69),1956,N0_4,4,8,12
Eye (C69),1956,N5_9,1,0,1
Eye (C69),1956,N10_14,1,1,2
Eye (C69),1956,N15_19,0,0,0
Eye (C69),1956,N20_24,0,1,1
Eye (C69),1956,N25_29,0,0,0
Eye (C69),1956,N30_34,1,3,4
Eye (C69),1956,N35_39,2,0,2
Eye (C69),1956,N40_44,0,1,1
Eye (C69),1956,N45_49,3,2,5
Eye (C69),1956,N50_54,8,3,11
Eye (C69),1956,N55_59,5,6,11
Eye (C69),1956,N60_64,6,9,15
Eye (C69),1956,N65_69,4,5,9
Eye (C69),1956,N70_74,6,6,12
Eye (C69),1956,N75_79,1,4,5
Eye (C69),1956,N80_84,2,0,2
Eye (C69),1956,N85+,0,0,0
Eye (C69),1956,N_UNK,0,0,0
Eye (C69),1957,N0_4,6,2,8
Eye (C69),1957,N5_9,0,0,0
Eye (C69),1957,N10_14,1,0,1
Eye (C69),1957,N15_19,0,0,0
Eye (C69),1957,N20_24,0,0,0
Eye (C69),1957,N25_29,2,0,2
Eye (C69),1957,N30_34,0,1,1
Eye (C69),1957,N35_39,3,2,5
Eye (C69),1957,N40_44,2,2,4
Eye (C69),1957,N45_49,2,1,3
Eye (C69),1957,N50_54,2,4,6
Eye (C69),1957,N55_59,4,3,7
Eye (C69),1957,N60_64,6,7,13
Eye (C69),1957,N65_69,4,1,5
Eye (C69),1957,N70_74,4,4,8
Eye (C69),1957,N75_79,6,4,10
Eye (C69),1957,N80_84,1,2,3
Eye (C69),1957,N85+,1,0,1
Eye (C69),1957,N_UNK,0,0,0
Eye (C69),1958,N0_4,3,4,7
Eye (C69),1958,N5_9,0,0,0
Eye (C69),1958,N10_14,1,1,2
Eye (C69),1958,N15_19,0,0,0
Eye (C69),1958,N20_24,0,0,0
Eye (C69),1958,N25_29,0,1,1
Eye (C69),1958,N30_34,0,0,0
Eye (C69),1958,N35_39,1,0,1
Eye (C69),1958,N40_44,2,2,4
Eye (C69),1958,N45_49,2,5,7
Eye (C69),1958,N50_54,5,7,12
Eye (C69),1958,N55_59,4,5,9
Eye (C69),1958,N60_64,8,9,17
Eye (C69),1958,N65_69,6,6,12
Eye (C69),1958,N70_74,2,5,7
Eye (C69),1958,N75_79,1,2,3
Eye (C69),1958,N80_84,0,1,1
Eye (C69),1958,N85+,1,0,1
Eye (C69),1958,N_UNK,0,0,0
Eye (C69),1959,N0_4,3,5,8
Eye (C69),1959,N5_9,1,0,1
Eye (C69),1959,N10_14,0,0,0
Eye (C69),1959,N15_19,1,0,1
Eye (C69),1959,N20_24,1,0,1
Eye (C69),1959,N25_29,0,2,2
Eye (C69),1959,N30_34,1,1,2
Eye (C69),1959,N35_39,2,0,2
Eye (C69),1959,N40_44,5,1,6
Eye (C69),1959,N45_49,1,0,1
Eye (C69),1959,N50_54,4,5,9
Eye (C69),1959,N55_59,7,5,12
Eye (C69),1959,N60_64,7,3,10
Eye (C69),1959,N65_69,7,6,13
Eye (C69),1959,N70_74,7,5,12
Eye (C69),1959,N75_79,4,5,9
Eye (C69),1959,N80_84,2,1,3
Eye (C69),1959,N85+,4,2,6
Eye (C69),1959,N_UNK,0,0,0
Eye (C69),1960,N0_4,5,6,11
Eye (C69),1960,N5_9,1,1,2
Eye (C69),1960,N10_14,0,0,0
Eye (C69),1960,N15_19,0,1,1
Eye (C69),1960,N20_24,2,0,2
Eye (C69),1960,N25_29,0,0,0
Eye (C69),1960,N30_34,1,1,2
Eye (C69),1960,N35_39,2,2,4
Eye (C69),1960,N40_44,5,1,6
Eye (C69),1960,N45_49,3,3,6
Eye (C69),1960,N50_54,5,6,11
Eye (C69),1960,N55_59,5,5,10
Eye (C69),1960,N60_64,3,4,7
Eye (C69),1960,N65_69,6,7,13
Eye (C69),1960,N70_74,6,6,12
Eye (C69),1960,N75_79,6,5,11
Eye (C69),1960,N80_84,0,1,1
Eye (C69),1960,N85+,1,0,1
Eye (C69),1960,N_UNK,0,0,0
Eye (C69),1961,N0_4,4,2,6
Eye (C69),1961,N5_9,1,0,1
Eye (C69),1961,N10_14,0,1,1
Eye (C69),1961,N15_19,0,1,1
Eye (C69),1961,N20_24,0,0,0
Eye (C69),1961,N25_29,0,0,0
Eye (C69),1961,N30_34,1,1,2
Eye (C69),1961,N35_39,1,2,3
Eye (C69),1961,N40_44,2,5,7
Eye (C69),1961,N45_49,3,5,8
Eye (C69),1961,N50_54,4,0,4
Eye (C69),1961,N55_59,5,7,12
Eye (C69),1961,N60_64,7,3,10
Eye (C69),1961,N65_69,5,3,8
Eye (C69),1961,N70_74,6,4,10
Eye (C69),1961,N75_79,4,2,6
Eye (C69),1961,N80_84,2,4,6
Eye (C69),1961,N85+,2,1,3
Eye (C69),1961,N_UNK,0,0,0
Eye (C69),1962,N0_4,5,0,5
Eye (C69),1962,N5_9,1,1,2
Eye (C69),1962,N10_14,0,1,1
Eye (C69),1962,N15_19,0,0,0
Eye (C69),1962,N20_24,0,0,0
Eye (C69),1962,N25_29,1,0,1
Eye (C69),1962,N30_34,0,2,2
Eye (C69),1962,N35_39,1,1,2
Eye (C69),1962,N40_44,0,1,1
Eye (C69),1962,N45_49,2,2,4
Eye (C69),1962,N50_54,4,8,12
Eye (C69),1962,N55_59,4,4,8
Eye (C69),1962,N60_64,3,9,12
Eye (C69),1962,N65_69,7,4,11
Eye (C69),1962,N70_74,4,2,6
Eye (C69),1962,N75_79,8,2,10
Eye (C69),1962,N80_84,1,0,1
Eye (C69),1962,N85+,3,2,5
Eye (C69),1962,N_UNK,0,0,0
Eye (C69),1963,N0_4,5,2,7
Eye (C69),1963,N5_9,0,1,1
Eye (C69),1963,N10_14,0,0,0
Eye (C69),1963,N15_19,0,2,2
Eye (C69),1963,N20_24,0,0,0
Eye (C69),1963,N25_29,0,0,0
Eye (C69),1963,N30_34,1,2,3
Eye (C69),1963,N35_39,3,4,7
Eye (C69),1963,N40_44,1,3,4
Eye (C69),1963,N45_49,4,2,6
Eye (C69),1963,N50_54,4,4,8
Eye (C69),1963,N55_59,4,3,7
Eye (C69),1963,N60_64,5,2,7
Eye (C69),1963,N65_69,9,6,15
Eye (C69),1963,N70_74,3,3,6
Eye (C69),1963,N75_79,4,4,8
Eye (C69),1963,N80_84,3,4,7
Eye (C69),1963,N85+,0,1,1
Eye (C69),1963,N_UNK,0,0,0
Eye (C69),1964,N0_4,8,4,12
Eye (C69),1964,N5_9,0,0,0
Eye (C69),1964,N10_14,0,0,0
Eye (C69),1964,N15_19,0,0,0
Eye (C69),1964,N20_24,1,1,2
Eye (C69),1964,N25_29,1,1,2
Eye (C69),1964,N30_34,3,0,3
Eye (C69),1964,N35_39,2,1,3
Eye (C69),1964,N40_44,2,2,4
Eye (C69),1964,N45_49,5,3,8
Eye (C69),1964,N50_54,6,6,12
Eye (C69),1964,N55_59,4,11,15
Eye (C69),1964,N60_64,5,3,8
Eye (C69),1964,N65_69,2,8,10
Eye (C69),1964,N70_74,5,7,12
Eye (C69),1964,N75_79,2,1,3
Eye (C69),1964,N80_84,3,2,5
Eye (C69),1964,N85+,0,1,1
Eye (C69),1964,N_UNK,0,0,0
Eye (C69),1965,N0_4,4,4,8
Eye (C69),1965,N5_9,0,0,0
Eye (C69),1965,N10_14,0,0,0
Eye (C69),1965,N15_19,0,0,0
Eye (C69),1965,N20_24,1,0,1
Eye (C69),1965,N25_29,1,0,1
Eye (C69),1965,N30_34,0,1,1
Eye (C69),1965,N35_39,1,2,3
Eye (C69),1965,N40_44,2,1,3
Eye (C69),1965,N45_49,3,6,9
Eye (C69),1965,N50_54,7,5,12
Eye (C69),1965,N55_59,7,3,10
Eye (C69),1965,N60_64,9,8,17
Eye (C69),1965,N65_69,10,9,19
Eye (C69),1965,N70_74,4,4,8
Eye (C69),1965,N75_79,8,2,10
Eye (C69),1965,N80_84,1,1,2
Eye (C69),1965,N85+,3,0,3
Eye (C69),1965,N_UNK,0,0,0
Eye (C69),1966,N0_4,8,5,13
Eye (C69),1966,N5_9,1,0,1
Eye (C69),1966,N10_14,0,0,0
Eye (C69),1966,N15_19,0,0,0
Eye (C69),1966,N20_24,0,0,0
Eye (C69),1966,N25_29,0,2,2
Eye (C69),1966,N30_34,1,2,3
Eye (C69),1966,N35_39,2,0,2
Eye (C69),1966,N40_44,2,3,5
Eye (C69),1966,N45_49,1,1,2
Eye (C69),1966,N50_54,2,1,3
Eye (C69),1966,N55_59,4,2,6
Eye (C69),1966,N60_64,9,3,12
Eye (C69),1966,N65_69,13,5,18
Eye (C69),1966,N70_74,7,9,16
Eye (C69),1966,N75_79,1,2,3
Eye (C69),1966,N80_84,2,2,4
Eye (C69),1966,N85+,1,2,3
Eye (C69),1966,N_UNK,0,0,0
Eye (C69),1967,N0_4,10,7,17
Eye (C69),1967,N5_9,0,0,0
Eye (C69),1967,N10_14,0,1,1
Eye (C69),1967,N15_19,0,0,0
Eye (C69),1967,N20_24,0,0,0
Eye (C69),1967,N25_29,1,2,3
Eye (C69),1967,N30_34,0,0,0
Eye (C69),1967,N35_39,2,1,3
Eye (C69),1967,N40_44,1,1,2
Eye (C69),1967,N45_49,1,2,3
Eye (C69),1967,N50_54,9,5,14
Eye (C69),1967,N55_59,6,6,12
Eye (C69),1967,N60_64,4,9,13
Eye (C69),1967,N65_69,11,10,21
Eye (C69),1967,N70_74,2,3,5
Eye (C69),1967,N75_79,2,6,8
Eye (C69),1967,N80_84,2,0,2
Eye (C69),1967,N85+,2,1,3
Eye (C69),1967,N_UNK,0,0,0
Eye (C69),1968,N0_4,8,3,11
Eye (C69),1968,N5_9,0,0,0
Eye (C69),1968,N10_14,1,0,1
Eye (C69),1968,N15_19,0,1,1
Eye (C69),1968,N20_24,2,1,3
Eye (C69),1968,N25_29,0,4,4
Eye (C69),1968,N30_34,0,0,0
Eye (C69),1968,N35_39,0,1,1
Eye (C69),1968,N40_44,1,4,5
Eye (C69),1968,N45_49,4,1,5
Eye (C69),1968,N50_54,5,3,8
Eye (C69),1968,N55_59,7,3,10
Eye (C69),1968,N60_64,7,9,16
Eye (C69),1968,N65_69,6,8,14
Eye (C69),1968,N70_74,5,4,9
Eye (C69),1968,N75_79,5,5,10
Eye (C69),1968,N80_84,4,1,5
Eye (C69),1968,N85+,2,1,3
Eye (C69),1968,N_UNK,0,0,0
Eye (C69),1969,N0_4,7,6,13
Eye (C69),1969,N5_9,1,2,3
Eye (C69),1969,N10_14,0,0,0
Eye (C69),1969,N15_19,0,0,0
