cancer_classification,SEX_CHARACTER,YEAR,Age_Group,Cases_by_Age,TOTAL
"All cancers but non-melanoma skin (C00-96, but C44)",F,2003,N0_4,781,357133
"All cancers but non-melanoma skin (C00-96, but C44)",F,2004,N0_4,770,364282
"All cancers but non-melanoma skin (C00-96, but C44)",F,2005,N0_4,781,369230
"All cancers but non-melanoma skin (C00-96, but C44)",F,2006,N0_4,790,376073
"All cancers but non-melanoma skin (C00-96, but C44)",F,2007,N0_4,795,384657
"All cancers but non-melanoma skin (C00-96, but C44)",F,2008,N0_4,734,396686
"All cancers but non-melanoma skin (C00-96, but C44)",F,2009,N0_4,851,404962
"All cancers but non-melanoma skin (C00-96, but C44)",F,2010,N0_4,874,411514
"All cancers but non-melanoma skin (C00-96, but C44)",F,2011,N0_4,822,419835
"All cancers but non-melanoma skin (C00-96, but C44)",F,2012,N0_4,865,423370
"All cancers but non-melanoma skin (C00-96, but C44)",F,2013,N0_4,879,442601
"All cancers but non-melanoma skin (C00-96, but C44)",F,2014,N0_4,868,450248
"All cancers but non-melanoma skin (C00-96, but C44)",F,2015,N0_4,867,454776
"All cancers but non-melanoma skin (C00-96, but C44)",F,2016,N0_4,888,459284
"All cancers but non-melanoma skin (C00-96, but C44)",F,2017,N0_4,858,442869
"Lip, oral cavity and pharynx (C00-14)",M,1953,N0_4,1,342
"Lip, oral cavity and pharynx (C00-14)",M,1954,N0_4,0,398
"Lip, oral cavity and pharynx (C00-14)",M,1955,N0_4,0,380
"Lip, oral cavity and pharynx (C00-14)",M,1956,N0_4,0,394
"Lip, oral cavity and pharynx (C00-14)",M,1957,N0_4,0,428
"Lip, oral cavity and pharynx (C00-14)",M,1958,N0_4,1,416
"Lip, oral cavity and pharynx (C00-14)",M,1959,N0_4,0,421
"Lip, oral cavity and pharynx (C00-14)",M,1960,N0_4,0,454
"Lip, oral cavity and pharynx (C00-14)",M,1961,N0_4,0,428
"Lip, oral cavity and pharynx (C00-14)",M,1962,N0_4,0,450
"Lip, oral cavity and pharynx (C00-14)",M,1963,N0_4,0,453
"Lip, oral cavity and pharynx (C00-14)",M,1964,N0_4,1,448
