cancer_classification,SEX_CHARACTER,YEAR,Age_Group,Cases_by_Age,TOTAL
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1957,N15_19,0,115
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1958,N15_19,0,145
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1959,N15_19,0,159
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1960,N15_19,0,138
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1961,N15_19,0,155
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1962,N15_19,0,154
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1963,N15_19,0,164
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1964,N15_19,0,184
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1965,N15_19,1,180
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1966,N15_19,0,193
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1967,N15_19,0,189
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1968,N15_19,0,194
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1969,N15_19,0,201
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1970,N15_19,0,222
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1971,N15_19,0,1091
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1972,N15_19,0,1117
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1973,N15_19,0,1209
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1974,N15_19,1,1320
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1975,N15_19,0,1303
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1976,N15_19,0,1338
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1977,N15_19,0,1467
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1978,N15_19,1,1635
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1979,N15_19,2,1474
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1980,N15_19,2,1454
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1981,N15_19,0,1577
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1982,N15_19,0,1524
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1983,N15_19,1,1926
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1984,N15_19,0,1848
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1985,N15_19,1,2106
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1986,N15_19,0,2082
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1987,N15_19,0,2240
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1988,N15_19,1,2446
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1989,N15_19,1,2849
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1990,N15_19,2,2762
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1991,N15_19,1,3002
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1992,N15_19,2,3121
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1993,N15_19,0,3209
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1994,N15_19,0,3397
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1995,N15_19,0,3598
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1996,N15_19,0,3870
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1997,N15_19,0,3866
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1998,N15_19,1,4419
Multiple myeloma and immunoproliferative diseases (C88+C90),M,1999,N15_19,1,4554
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2000,N15_19,1,4657
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2001,N15_19,0,4785
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2002,N15_19,2,4879
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2003,N15_19,2,5556
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2004,N15_19,5,5758
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2005,N15_19,2,5793
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2006,N15_19,0,6004
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2007,N15_19,2,6205
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2008,N15_19,4,6603
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2009,N15_19,2,6899
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2010,N15_19,2,6868
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2011,N15_19,1,7103
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2012,N15_19,4,7263
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2013,N15_19,4,8260
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2014,N15_19,5,8117
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2015,N15_19,5,8420
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2016,N15_19,4,8828
Multiple myeloma and immunoproliferative diseases (C88+C90),M,2017,N15_19,4,8795
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1953,N15_19,0,64
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1954,N15_19,0,75
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1955,N15_19,0,67
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1956,N15_19,0,90
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1957,N15_19,0,80
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1958,N15_19,0,100
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1959,N15_19,0,99
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1960,N15_19,0,90
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1961,N15_19,0,113
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1962,N15_19,0,100
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1963,N15_19,0,138
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1964,N15_19,0,157
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1965,N15_19,0,131
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1966,N15_19,0,162
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1967,N15_19,0,154
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1968,N15_19,0,171
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1969,N15_19,0,170
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1970,N15_19,0,145
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1971,N15_19,1,984
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1972,N15_19,1,1069
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1973,N15_19,0,1084
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1974,N15_19,0,1272
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1975,N15_19,0,1218
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1976,N15_19,0,1207
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1977,N15_19,0,1407
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1978,N15_19,0,1446
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1979,N15_19,0,1353
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1980,N15_19,0,1439
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1981,N15_19,0,1443
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1982,N15_19,0,1563
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1983,N15_19,0,1848
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1984,N15_19,1,1890
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1985,N15_19,0,2053
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1986,N15_19,0,1972
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1987,N15_19,0,2165
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1988,N15_19,0,2393
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1989,N15_19,1,2836
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1990,N15_19,0,2786
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1991,N15_19,1,2930
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1992,N15_19,1,2914
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1993,N15_19,0,3151
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1994,N15_19,0,3293
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1995,N15_19,0,3415
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1996,N15_19,1,3416
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1997,N15_19,1,3653
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1998,N15_19,2,4073
Multiple myeloma and immunoproliferative diseases (C88+C90),F,1999,N15_19,1,4397
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2000,N15_19,0,4421
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2001,N15_19,0,4347
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2002,N15_19,0,4402
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2003,N15_19,0,5132
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2004,N15_19,1,5098
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2005,N15_19,0,5263
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2006,N15_19,1,5349
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2007,N15_19,1,5526
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2008,N15_19,2,5622
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2009,N15_19,3,5832
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2010,N15_19,0,5890
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2011,N15_19,1,5943
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2012,N15_19,3,6003
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2013,N15_19,5,6853
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2014,N15_19,3,6976
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2015,N15_19,2,6938
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2016,N15_19,4,7095
Multiple myeloma and immunoproliferative diseases (C88+C90),F,2017,N15_19,1,7002
Leukaemia (C91-95),M,1953,N15_19,3,315
Leukaemia (C91-95),M,1954,N15_19,6,325
Leukaemia (C91-95),M,1955,N15_19,8,339
Leukaemia (C91-95),M,1956,N15_19,7,395
Leukaemia (C91-95),M,1957,N15_19,7,370
Leukaemia (C91-95),M,1958,N15_19,8,388
Leukaemia (C91-95),M,1959,N15_19,13,434
Leukaemia (C91-95),M,1960,N15_19,11,369
Leukaemia (C91-95),M,1961,N15_19,13,444
Leukaemia (C91-95),M,1962,N15_19,12,436
Leukaemia (C91-95),M,1963,N15_19,12,451
Leukaemia (C91-95),M,1964,N15_19,10,467
Leukaemia (C91-95),M,1965,N15_19,8,425
Leukaemia (C91-95),M,1966,N15_19,8,476
Leukaemia (C91-95),M,1967,N15_19,9,511
Leukaemia (C91-95),M,1968,N15_19,8,499
Leukaemia (C91-95),M,1969,N15_19,18,508
Leukaemia (C91-95),M,1970,N15_19,10,523
Leukaemia (C91-95),M,1971,N15_19,53,2323
Leukaemia (C91-95),M,1972,N15_19,53,2421
Leukaemia (C91-95),M,1973,N15_19,46,2465
Leukaemia (C91-95),M,1974,N15_19,65,2660
Leukaemia (C91-95),M,1975,N15_19,45,2659
Leukaemia (C91-95),M,1976,N15_19,69,2622
Leukaemia (C91-95),M,1977,N15_19,71,2813
Leukaemia (C91-95),M,1978,N15_19,72,3096
Leukaemia (C91-95),M,1979,N15_19,57,3327
Leukaemia (C91-95),M,1980,N15_19,82,3370
Leukaemia (C91-95),M,1981,N15_19,61,3371
Leukaemia (C91-95),M,1982,N15_19,87,3556
Leukaemia (C91-95),M,1983,N15_19,94,4794
Leukaemia (C91-95),M,1984,N15_19,79,4767
Leukaemia (C91-95),M,1985,N15_19,87,4988
Leukaemia (C91-95),M,1986,N15_19,109,4754
Leukaemia (C91-95),M,1987,N15_19,106,5286
Leukaemia (C91-95),M,1988,N15_19,114,5982
Leukaemia (C91-95),M,1989,N15_19,117,6844
Leukaemia (C91-95),M,1990,N15_19,111,7045
Leukaemia (C91-95),M,1991,N15_19,117,6968
Leukaemia (C91-95),M,1992,N15_19,121,6967
Leukaemia (C91-95),M,1993,N15_19,117,7554
Leukaemia (C91-95),M,1994,N15_19,119,7946
Leukaemia (C91-95),M,1995,N15_19,114,8410
Leukaemia (C91-95),M,1996,N15_19,114,8227
Leukaemia (C91-95),M,1997,N15_19,128,8478
Leukaemia (C91-95),M,1998,N15_19,130,9370
Leukaemia (C91-95),M,1999,N15_19,142,10040
Leukaemia (C91-95),M,2000,N15_19,123,9970
Leukaemia (C91-95),M,2001,N15_19,126,10210
Leukaemia (C91-95),M,2002,N15_19,139,10133
Leukaemia (C91-95),M,2003,N15_19,167,11442
Leukaemia (C91-95),M,2004,N15_19,142,11834
Leukaemia (C91-95),M,2005,N15_19,174,11788
Leukaemia (C91-95),M,2006,N15_19,179,12024
Leukaemia (C91-95),M,2007,N15_19,171,12276
Leukaemia (C91-95),M,2008,N15_19,159,12631
Leukaemia (C91-95),M,2009,N15_19,154,13279
Leukaemia (C91-95),M,2010,N15_19,153,13296
Leukaemia (C91-95),M,2011,N15_19,145,13538
Leukaemia (C91-95),M,2012,N15_19,128,13622
Leukaemia (C91-95),M,2013,N15_19,155,15124
Leukaemia (C91-95),M,2014,N15_19,161,14940
Leukaemia (C91-95),M,2015,N15_19,159,15440
Leukaemia (C91-95),M,2016,N15_19,148,15195
Leukaemia (C91-95),M,2017,N15_19,165,14517
Leukaemia (C91-95),F,1953,N15_19,5,218
Leukaemia (C91-95),F,1954,N15_19,11,258
Leukaemia (C91-95),F,1955,N15_19,3,261
Leukaemia (C91-95),F,1956,N15_19,7,264
Leukaemia (C91-95),F,1957,N15_19,4,258
Leukaemia (C91-95),F,1958,N15_19,4,286
Leukaemia (C91-95),F,1959,N15_19,6,282
Leukaemia (C91-95),F,1960,N15_19,10,314
Leukaemia (C91-95),F,1961,N15_19,9,311
Leukaemia (C91-95),F,1962,N15_19,8,299
Leukaemia (C91-95),F,1963,N15_19,7,312
Leukaemia (C91-95),F,1964,N15_19,6,313
Leukaemia (C91-95),F,1965,N15_19,6,331
Leukaemia (C91-95),F,1966,N15_19,5,343
Leukaemia (C91-95),F,1967,N15_19,6,320
Leukaemia (C91-95),F,1968,N15_19,9,362
Leukaemia (C91-95),F,1969,N15_19,7,372
Leukaemia (C91-95),F,1970,N15_19,3,342
Leukaemia (C91-95),F,1971,N15_19,32,1792
Leukaemia (C91-95),F,1972,N15_19,31,1929
Leukaemia (C91-95),F,1973,N15_19,42,2033
Leukaemia (C91-95),F,1974,N15_19,34,2120
Leukaemia (C91-95),F,1975,N15_19,37,2208
Leukaemia (C91-95),F,1976,N15_19,30,2229
Leukaemia (C91-95),F,1977,N15_19,35,2329
Leukaemia (C91-95),F,1978,N15_19,44,2506
Leukaemia (C91-95),F,1979,N15_19,39,2538
Leukaemia (C91-95),F,1980,N15_19,56,2680
Leukaemia (C91-95),F,1981,N15_19,35,2860
Leukaemia (C91-95),F,1982,N15_19,38,2761
Leukaemia (C91-95),F,1983,N15_19,67,4034
Leukaemia (C91-95),F,1984,N15_19,63,3949
Leukaemia (C91-95),F,1985,N15_19,65,4095
Leukaemia (C91-95),F,1986,N15_19,60,3956
Leukaemia (C91-95),F,1987,N15_19,75,4351
Leukaemia (C91-95),F,1988,N15_19,47,5021
Leukaemia (C91-95),F,1989,N15_19,68,5654
Leukaemia (C91-95),F,1990,N15_19,67,5619
Leukaemia (C91-95),F,1991,N15_19,83,5530
Leukaemia (C91-95),F,1992,N15_19,69,5722
Leukaemia (C91-95),F,1993,N15_19,65,6101
Leukaemia (C91-95),F,1994,N15_19,78,6465
Leukaemia (C91-95),F,1995,N15_19,66,6495
Leukaemia (C91-95),F,1996,N15_19,68,6661
Leukaemia (C91-95),F,1997,N15_19,88,6966
Leukaemia (C91-95),F,1998,N15_19,85,7728
Leukaemia (C91-95),F,1999,N15_19,97,7991
Leukaemia (C91-95),F,2000,N15_19,81,7882
Leukaemia (C91-95),F,2001,N15_19,80,7906
Leukaemia (C91-95),F,2002,N15_19,88,7973
Leukaemia (C91-95),F,2003,N15_19,83,8817
Leukaemia (C91-95),F,2004,N15_19,101,9082
Leukaemia (C91-95),F,2005,N15_19,122,9186
Leukaemia (C91-95),F,2006,N15_19,117,9286
Leukaemia (C91-95),F,2007,N15_19,94,9248
Leukaemia (C91-95),F,2008,N15_19,77,9639
Leukaemia (C91-95),F,2009,N15_19,102,9912
Leukaemia (C91-95),F,2010,N15_19,107,10026
Leukaemia (C91-95),F,2011,N15_19,95,10320
Leukaemia (C91-95),F,2012,N15_19,94,10004
Leukaemia (C91-95),F,2013,N15_19,85,10963
Leukaemia (C91-95),F,2014,N15_19,84,10725
Leukaemia (C91-95),F,2015,N15_19,90,11194
Leukaemia (C91-95),F,2016,N15_19,87,10732
Leukaemia (C91-95),F,2017,N15_19,99,10410
"All cancers but non-melanoma skin (C00-96, but C44)",M,1953,N20_24,55,7925
"All cancers but non-melanoma skin (C00-96, but C44)",M,1954,N20_24,61,8254
"All cancers but non-melanoma skin (C00-96, but C44)",M,1955,N20_24,58,8420
"All cancers but non-melanoma skin (C00-96, but C44)",M,1956,N20_24,57,8817
"All cancers but non-melanoma skin (C00-96, but C44)",M,1957,N20_24,49,9134
"All cancers but non-melanoma skin (C00-96, but C44)",M,1958,N20_24,60,9534
"All cancers but non-melanoma skin (C00-96, but C44)",M,1959,N20_24,67,10121
"All cancers but non-melanoma skin (C00-96, but C44)",M,1960,N20_24,67,10219
"All cancers but non-melanoma skin (C00-96, but C44)",M,1961,N20_24,64,10747
"All cancers but non-melanoma skin (C00-96, but C44)",M,1962,N20_24,50,10784
"All cancers but non-melanoma skin (C00-96, but C44)",M,1963,N20_24,59,11343
"All cancers but non-melanoma skin (C00-96, but C44)",M,1964,N20_24,66,11696
"All cancers but non-melanoma skin (C00-96, but C44)",M,1965,N20_24,84,12185
"All cancers but non-melanoma skin (C00-96, but C44)",M,1966,N20_24,62,12181
"All cancers but non-melanoma skin (C00-96, but C44)",M,1967,N20_24,95,12899
"All cancers but non-melanoma skin (C00-96, but C44)",M,1968,N20_24,81,13536
"All cancers but non-melanoma skin (C00-96, but C44)",M,1969,N20_24,97,13633
"All cancers but non-melanoma skin (C00-96, but C44)",M,1970,N20_24,95,14092
"All cancers but non-melanoma skin (C00-96, but C44)",M,1971,N20_24,485,86250
"All cancers but non-melanoma skin (C00-96, but C44)",M,1972,N20_24,469,87562
"All cancers but non-melanoma skin (C00-96, but C44)",M,1973,N20_24,445,92969
"All cancers but non-melanoma skin (C00-96, but C44)",M,1974,N20_24,490,95502
"All cancers but non-melanoma skin (C00-96, but C44)",M,1975,N20_24,435,97010
"All cancers but non-melanoma skin (C00-96, but C44)",M,1976,N20_24,489,97861
"All cancers but non-melanoma skin (C00-96, but C44)",M,1977,N20_24,497,103432
"All cancers but non-melanoma skin (C00-96, but C44)",M,1978,N20_24,568,114917
"All cancers but non-melanoma skin (C00-96, but C44)",M,1979,N20_24,532,119293
"All cancers but non-melanoma skin (C00-96, but C44)",M,1980,N20_24,597,122434
"All cancers but non-melanoma skin (C00-96, but C44)",M,1981,N20_24,591,124652
"All cancers but non-melanoma skin (C00-96, but C44)",M,1982,N20_24,606,125797
"All cancers but non-melanoma skin (C00-96, but C44)",M,1983,N20_24,822,163988
"All cancers but non-melanoma skin (C00-96, but C44)",M,1984,N20_24,809,165084
"All cancers but non-melanoma skin (C00-96, but C44)",M,1985,N20_24,893,171676
"All cancers but non-melanoma skin (C00-96, but C44)",M,1986,N20_24,953,172508
"All cancers but non-melanoma skin (C00-96, but C44)",M,1987,N20_24,977,180991
"All cancers but non-melanoma skin (C00-96, but C44)",M,1988,N20_24,1112,204669
"All cancers but non-melanoma skin (C00-96, but C44)",M,1989,N20_24,1264,234680
"All cancers but non-melanoma skin (C00-96, but C44)",M,1990,N20_24,1321,239188
"All cancers but non-melanoma skin (C00-96, but C44)",M,1991,N20_24,1307,243715
"All cancers but non-melanoma skin (C00-96, but C44)",M,1992,N20_24,1271,252589
"All cancers but non-melanoma skin (C00-96, but C44)",M,1993,N20_24,1293,265552
"All cancers but non-melanoma skin (C00-96, but C44)",M,1994,N20_24,1315,281542
"All cancers but non-melanoma skin (C00-96, but C44)",M,1995,N20_24,1299,282510
"All cancers but non-melanoma skin (C00-96, but C44)",M,1996,N20_24,1294,288948
"All cancers but non-melanoma skin (C00-96, but C44)",M,1997,N20_24,1337,293415
"All cancers but non-melanoma skin (C00-96, but C44)",M,1998,N20_24,1477,326093
"All cancers but non-melanoma skin (C00-96, but C44)",M,1999,N20_24,1471,336862
"All cancers but non-melanoma skin (C00-96, but C44)",M,2000,N20_24,1500,343550
"All cancers but non-melanoma skin (C00-96, but C44)",M,2001,N20_24,1580,349912
"All cancers but non-melanoma skin (C00-96, but C44)",M,2002,N20_24,1545,356396
"All cancers but non-melanoma skin (C00-96, but C44)",M,2003,N20_24,1676,392012
"All cancers but non-melanoma skin (C00-96, but C44)",M,2004,N20_24,1693,408926
"All cancers but non-melanoma skin (C00-96, but C44)",M,2005,N20_24,1789,409788
"All cancers but non-melanoma skin (C00-96, but C44)",M,2006,N20_24,1747,421450
"All cancers but non-melanoma skin (C00-96, but C44)",M,2007,N20_24,1813,432515
"All cancers but non-melanoma skin (C00-96, but C44)",M,2008,N20_24,1804,442143
"All cancers but non-melanoma skin (C00-96, but C44)",M,2009,N20_24,1754,455932
"All cancers but non-melanoma skin (C00-96, but C44)",M,2010,N20_24,1816,460898
"All cancers but non-melanoma skin (C00-96, but C44)",M,2011,N20_24,1890,470812
"All cancers but non-melanoma skin (C00-96, but C44)",M,2012,N20_24,1889,475115
"All cancers but non-melanoma skin (C00-96, but C44)",M,2013,N20_24,1860,497075
"All cancers but non-melanoma skin (C00-96, but C44)",M,2014,N20_24,1947,501541
"All cancers but non-melanoma skin (C00-96, but C44)",M,2015,N20_24,1825,510250
"All cancers but non-melanoma skin (C00-96, but C44)",M,2016,N20_24,1814,518720
"All cancers but non-melanoma skin (C00-96, but C44)",M,2017,N20_24,1761,498383
"All cancers but non-melanoma skin (C00-96, but C44)",F,1953,N20_24,40,9337
"All cancers but non-melanoma skin (C00-96, but C44)",F,1954,N20_24,38,9233
"All cancers but non-melanoma skin (C00-96, but C44)",F,1955,N20_24,45,9813
"All cancers but non-melanoma skin (C00-96, but C44)",F,1956,N20_24,43,10049
"All cancers but non-melanoma skin (C00-96, but C44)",F,1957,N20_24,44,9999
"All cancers but non-melanoma skin (C00-96, but C44)",F,1958,N20_24,39,10605
"All cancers but non-melanoma skin (C00-96, but C44)",F,1959,N20_24,42,10957
"All cancers but non-melanoma skin (C00-96, but C44)",F,1960,N20_24,53,11219
"All cancers but non-melanoma skin (C00-96, but C44)",F,1961,N20_24,41,11409
"All cancers but non-melanoma skin (C00-96, but C44)",F,1962,N20_24,51,11681
"All cancers but non-melanoma skin (C00-96, but C44)",F,1963,N20_24,48,11923
"All cancers but non-melanoma skin (C00-96, but C44)",F,1964,N20_24,55,12446
"All cancers but non-melanoma skin (C00-96, but C44)",F,1965,N20_24,50,12589
"All cancers but non-melanoma skin (C00-96, but C44)",F,1966,N20_24,73,12982
"All cancers but non-melanoma skin (C00-96, but C44)",F,1967,N20_24,64,13311
"All cancers but non-melanoma skin (C00-96, but C44)",F,1968,N20_24,79,13854
"All cancers but non-melanoma skin (C00-96, but C44)",F,1969,N20_24,77,13937
"All cancers but non-melanoma skin (C00-96, but C44)",F,1970,N20_24,76,14348
"All cancers but non-melanoma skin (C00-96, but C44)",F,1971,N20_24,419,82794
"All cancers but non-melanoma skin (C00-96, but C44)",F,1972,N20_24,360,84854
"All cancers but non-melanoma skin (C00-96, but C44)",F,1973,N20_24,384,89179
"All cancers but non-melanoma skin (C00-96, but C44)",F,1974,N20_24,378,93656
"All cancers but non-melanoma skin (C00-96, but C44)",F,1975,N20_24,405,94159
"All cancers but non-melanoma skin (C00-96, but C44)",F,1976,N20_24,387,94815
"All cancers but non-melanoma skin (C00-96, but C44)",F,1977,N20_24,417,98966
"All cancers but non-melanoma skin (C00-96, but C44)",F,1978,N20_24,444,111092
"All cancers but non-melanoma skin (C00-96, but C44)",F,1979,N20_24,443,113410
"All cancers but non-melanoma skin (C00-96, but C44)",F,1980,N20_24,495,118042
"All cancers but non-melanoma skin (C00-96, but C44)",F,1981,N20_24,476,120648
"All cancers but non-melanoma skin (C00-96, but C44)",F,1982,N20_24,516,122262
"All cancers but non-melanoma skin (C00-96, but C44)",F,1983,N20_24,700,157827
"All cancers but non-melanoma skin (C00-96, but C44)",F,1984,N20_24,722,159234
"All cancers but non-melanoma skin (C00-96, but C44)",F,1985,N20_24,755,166556
"All cancers but non-melanoma skin (C00-96, but C44)",F,1986,N20_24,794,167836
"All cancers but non-melanoma skin (C00-96, but C44)",F,1987,N20_24,864,175768
"All cancers but non-melanoma skin (C00-96, but C44)",F,1988,N20_24,1016,194962
"All cancers but non-melanoma skin (C00-96, but C44)",F,1989,N20_24,1077,224251
"All cancers but non-melanoma skin (C00-96, but C44)",F,1990,N20_24,1108,227736
"All cancers but non-melanoma skin (C00-96, but C44)",F,1991,N20_24,1124,232385
"All cancers but non-melanoma skin (C00-96, but C44)",F,1992,N20_24,1192,240396
"All cancers but non-melanoma skin (C00-96, but C44)",F,1993,N20_24,1124,249416
"All cancers but non-melanoma skin (C00-96, but C44)",F,1994,N20_24,1246,263228
"All cancers but non-melanoma skin (C00-96, but C44)",F,1995,N20_24,1180,263756
"All cancers but non-melanoma skin (C00-96, but C44)",F,1996,N20_24,1191,268998
"All cancers but non-melanoma skin (C00-96, but C44)",F,1997,N20_24,1145,276716
"All cancers but non-melanoma skin (C00-96, but C44)",F,1998,N20_24,1231,307067
"All cancers but non-melanoma skin (C00-96, but C44)",F,1999,N20_24,1297,316880
"All cancers but non-melanoma skin (C00-96, but C44)",F,2000,N20_24,1334,319633
"All cancers but non-melanoma skin (C00-96, but C44)",F,2001,N20_24,1350,323373
"All cancers but non-melanoma skin (C00-96, but C44)",F,2002,N20_24,1384,326265
"All cancers but non-melanoma skin (C00-96, but C44)",F,2003,N20_24,1497,357133
"All cancers but non-melanoma skin (C00-96, but C44)",F,2004,N20_24,1525,364282
"All cancers but non-melanoma skin (C00-96, but C44)",F,2005,N20_24,1621,369230
"All cancers but non-melanoma skin (C00-96, but C44)",F,2006,N20_24,1610,376073
"All cancers but non-melanoma skin (C00-96, but C44)",F,2007,N20_24,1567,384657
"All cancers but non-melanoma skin (C00-96, but C44)",F,2008,N20_24,1642,396686
"All cancers but non-melanoma skin (C00-96, but C44)",F,2009,N20_24,1718,404962
"All cancers but non-melanoma skin (C00-96, but C44)",F,2010,N20_24,1860,411514
"All cancers but non-melanoma skin (C00-96, but C44)",F,2011,N20_24,1729,419835
"All cancers but non-melanoma skin (C00-96, but C44)",F,2012,N20_24,1786,423370
"All cancers but non-melanoma skin (C00-96, but C44)",F,2013,N20_24,1847,442601
"All cancers but non-melanoma skin (C00-96, but C44)",F,2014,N20_24,1897,450248
"All cancers but non-melanoma skin (C00-96, but C44)",F,2015,N20_24,1912,454776
"All cancers but non-melanoma skin (C00-96, but C44)",F,2016,N20_24,1758,459284
"All cancers but non-melanoma skin (C00-96, but C44)",F,2017,N20_24,1678,442869
"Lip, oral cavity and pharynx (C00-14)",M,1953,N20_24,1,342
"Lip, oral cavity and pharynx (C00-14)",M,1954,N20_24,3,398
